(p1, p2, p3, p4)    X          A          B          C          D          E
(0, 0, 10, 90) 930.099976 -10.359537 -7.35948 -21.028299 -5.713858 -724.53021
(0, 0, 10, 90) 950.059998 -10.70768 -7.411586 -21.621995 -5.99358 -755.6421499999999
(0, 0, 10, 90) 970.02002 -10.871665 -7.831378 -22.248371 -6.114661 -772.8032
(0, 0, 10, 90) 989.97998 -11.180048 -8.47782 -23.285199 -6.443953 -812.8077599999999
(0, 0, 10, 90) 1009.950012 -11.937386 -8.899744 -24.416791 -6.927038 -867.60133
(0, 0, 10, 90) 1029.910034 -12.236995 -9.394163 -25.2316 -7.211906 -901.3875400000001
(0, 0, 10, 90) 1049.869995 -12.596027 -9.893889 -26.483681 -7.419411 -932.5838
(0, 0, 10, 90) 1069.829956 -13.110111 -10.45128 -27.664397 -7.747098 -973.8827900000001
(0, 0, 10, 90) 1089.790039 -13.515401 -10.886553 -28.19207 -7.986058 -1000.66592
(0, 0, 10, 90) 1109.76001 -13.743826 -11.382753 -28.948311 -8.33077 -1039.25241
(0, 0, 10, 90) 1129.719971 -14.154537 -11.617343 -29.699983 -8.5431 -1065.87883
(0, 0, 10, 90) 1149.680054 -14.665749 -12.066991 -30.950411 -8.857296 -1106.66075
(0, 0, 10, 90) 1169.640015 -14.910587 -12.340047 -31.743888 -9.196383 -1145.11335
(0, 0, 10, 90) 1189.599976 -15.298585 -12.604107 -32.531656 -9.393335 -1170.7167100000001
(0, 0, 10, 90) 1209.569946 -15.564434 -12.816033 -33.156665 -9.927868 -1225.07477
(0, 0, 10, 90) 1229.530029 -15.847155 -13.079134 -34.643708 -10.212968 -1265.6042
(0, 0, 10, 90) 1249.48999 -16.217069 -13.535734 -35.03322 -10.383887 -1284.88203
(0, 0, 10, 90) 1269.449951 -16.675266 -13.832154 -35.945652 -10.997107 -1349.19615
(0, 0, 10, 90) 1289.410034 -16.800218 -14.119544 -36.705071 -11.107567 -1366.73174
(0, 0, 10, 90) 1309.380005 -17.130345 -14.41662 -37.403813 -11.353483 -1395.8516
(0, 0, 10, 90) 1329.339966 -16.989599 -14.497582 -37.8066 -11.733368 -1434.06912
(0, 0, 10, 90) 1349.300049 -17.465155 -14.901416 -38.847616 -12.238173 -1489.9117299999998
(0, 0, 10, 90) 1369.26001 -17.453338 -15.404008 -39.694753 -12.533346 -1524.94867
(0, 0, 10, 90) 1389.219971 -18.304323 -15.392998 -40.422557 -13.001563 -1574.3662399999998
(0, 0, 10, 90) 1409.189941 -17.903868 -15.512942 -41.040012 -13.281576 -1605.74196
(0, 0, 10, 90) 1429.150024 -18.005073 -15.767996 -41.923801 -13.660315 -1648.6663600000002
(0, 0, 10, 90) 1449.109985 -18.024877 -16.298196 -42.407209 -13.697607 -1656.8567199999998
(0, 0, 10, 90) 1469.069946 -17.529179 -15.957587 -42.941046 -13.85893 -1676.7141600000002
(0, 0, 10, 90) 1489.030029 -18.139301 -16.113082 -43.657051 -14.073842 -1703.21629
(0, 0, 10, 90) 1508.98999 -18.097867 -16.330076 -43.805083 -14.375937 -1731.8851600000003
(0, 0, 10, 90) 1528.959961 -18.162542 -16.112775 -44.90417 -15.040767 -1802.71073
(0, 0, 10, 90) 1548.920044 -17.9475 -15.9968 -45.378786 -15.261193 -1827.29523
(0, 0, 10, 90) 1578.859985 -17.801984 -15.952393 -46.146158 -15.593403 -1864.86785
(0, 0, 10, 90) 1618.790039 -17.559385 -16.218627 -47.547345 -16.013746 -1916.7105900000001
(0, 0, 10, 90) 1658.709961 -17.346692 -16.074278 -48.28576 -16.521303 -1969.77487
(0, 0, 10, 90) 1698.630005 -17.01764 -15.882808 -49.35494 -17.058757 -2028.8375299999998
(0, 0, 10, 90) 1738.560059 -16.645032 -15.818737 -50.01352 -17.441579 -2069.8773100000003
(0, 0, 10, 90) 1778.47998 -16.564689 -15.76057 -51.163844 -17.896856 -2122.35548
(0, 0, 10, 90) 1818.400024 -16.210917 -15.586095 -52.139073 -18.435492 -2180.58501
(0, 0, 10, 90) 1858.329956 -16.351713 -15.564905 -53.099751 -19.165529 -2255.89512
(0, 0, 10, 90) 1898.25 -16.566568 -15.779508 -54.441761 -19.717665 -2319.00746
(0, 0, 10, 90) 1938.180054 -16.636576 -15.947053 -55.500901 -20.510862 -2400.98659
(0, 0, 10, 90) 1978.099976 -16.864508 -16.285956 -57.112148 -21.390718 -2496.2861000000003
(0, 0, 10, 90) 2018.02002 -17.191953 -16.719842 -59.041427 -22.002663 -2570.65394
(0, 0, 10, 90) 2057.949951 -17.709791 -17.319164 -61.142838 -22.645079 -2649.48549
